model,feature_subset,data_branch,tuning_method,augmentation_strategy,branch_id,n_features,best_params,best_cv_score_mae,scoring,cv_strategy,notes
MLP,FUSION,A,none,grouped_scaling,FUSION_A_CT_random_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,"{""model__alpha"": 0.01}",35.417052560206514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,"{""model__alpha"": 0.01}",32.40494823134729,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.7}",24.453443817184098,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale""}",48.44043952868439,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 200}",52.784449485930736,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,FUSION,A,grid,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__n_estimators"": 200, ""model__reg_lambda"": 5, ""model__subsample"": 0.8}",38.69866828918457,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,FUSION,A,none,grouped_scaling,FUSION_A_CT_grid_grouped_scaling,203,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Lasso,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
ElasticNet,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
SVR,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
RandomForest,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
XGBoost,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
MLP,SOLO_A,N,none,none,SOLO_A_N_ST,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,SOLO_A,N,none,none,SOLO_A_N_CT_random,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,SOLO_A,N,random,none,SOLO_A_N_CT_random,101,"{""model__alpha"": 10}",25.43857372914647,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
Lasso,SOLO_A,N,random,none,SOLO_A_N_CT_random,101,"{""model__alpha"": 1}",37.473210297716065,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 5}"
ElasticNet,SOLO_A,N,random,none,SOLO_A_N_CT_random,101,"{""model__l1_ratio"": 0.5, ""model__alpha"": 0.1}",17.87903965901941,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
SVR,SOLO_A,N,random,none,SOLO_A_N_CT_random,101,"{""model__gamma"": ""auto"", ""model__epsilon"": 10, ""model__C"": 100}",49.175515234837135,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,SOLO_A,N,random,none,SOLO_A_N_CT_random,101,"{""model__n_estimators"": 100, ""model__min_samples_leaf"": 3, ""model__max_depth"": 3}",48.882433333333324,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,SOLO_A,N,random,none,SOLO_A_N_CT_random,101,"{""model__subsample"": 0.8, ""model__reg_lambda"": 1, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.1, ""model__colsample_bytree"": 0.8}",41.901773834228514,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,SOLO_A,N,none,none,SOLO_A_N_CT_random,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
DummyRegressor,SOLO_A,N,none,none,SOLO_A_N_CT_grid,101,{},,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""none""}"
Ridge,SOLO_A,N,grid,none,SOLO_A_N_CT_grid,101,"{""model__alpha"": 10}",25.43857372914647,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,SOLO_A,N,grid,none,SOLO_A_N_CT_grid,101,"{""model__alpha"": 1}",37.473210297716065,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,SOLO_A,N,grid,none,SOLO_A_N_CT_grid,101,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.5}",17.87903965901941,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,SOLO_A,N,grid,none,SOLO_A_N_CT_grid,101,"{""model__C"": 100, ""model__epsilon"": 10, ""model__gamma"": ""scale""}",49.175515234837135,neg_mean_absolute_error,GroupKFold(k=5) sobre 10 experimentos,"{""method"": ""grid"", ""n_candidates"": 32}"
