model,experiment_id,feature,shap_value,feature_value
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_rms_std_6_contacts,-6.933253765106201,1.8631939632961871
XGBoost_SOLO_R_A_CT_random_feature_noise,66,R_energy_total_6_contacts,0.0,8483.081930585453
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_mean,0.0,1.04843432169964e-16
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_std,-9.471379280090332,26.066408298244564
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_rms,0.0,26.066408298244564
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_max,0.0,167.53735304187575
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_min,0.0,-139.40304595812427
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_peak_to_peak,0.0,306.940399
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_skewness,0.0,0.0641282091400781
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_kurtosis,0.0,0.4790186881120606
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_crest_factor,-7.218452453613281,6.427327889786738
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_energy,0.0,2239.7777588267923
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_absolute_mean,0.0,19.717397579080806
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_duration_s,0.0,3.2963999999999984
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_n_samples,0.0,164821.0
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_dominant_freq_hz,0.0,1996.1048653536573
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_spectral_energy,0.0,9229060249689.771
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p1_spectral_centroid_hz,0.0,4995.852916428094
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_mean,0.0,9.69884345649661e-17
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_std,0.0,22.07520549986057
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_rms,0.0,22.07520549986057
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_max,0.0,97.34492798762034
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_min,0.0,-138.68378901237966
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_peak_to_peak,0.0,236.028717
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_skewness,0.0,0.2676707090363812
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_kurtosis,-8.788858413696289,0.4130770650519815
XGBoost_SOLO_R_A_CT_random_feature_noise,67,R_p2_crest_factor,0.0,6.282332864953652
