rank,model,data_branch,tuning_method,validation_type,augmentation_strategy,MAE,RMSE,R2,MAPE_%,interpretation_note,branch_id
83,RandomForest,A,grid,loeo,grouped_scaling,59.33841666666666,71.11476303165597,-0.40414903032981253,39.92060113974903,LOEO (honest); aug:grouped_scaling; tuning:grid,A_CT_grid_grouped_scaling
84,SVR,N,none,loeo,none,60.24311227420817,69.56571176951118,-0.34364374890640415,39.16508645475763,LOEO (honest),N_ST
85,MLP,A,none,loeo,feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,LOEO (honest); aug:feature_noise,A_ST_feature_noise
86,MLP,A,none,loeo,feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,LOEO (honest); aug:feature_noise,A_CT_random_feature_noise
87,MLP,A,none,loeo,feature_noise,162.26953921491787,347.87750455825153,-32.60054812537346,79.38842953058452,LOEO (honest); aug:feature_noise,A_CT_grid_feature_noise
88,MLP,N,none,loeo,none,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,LOEO (honest),N_ST
89,MLP,N,none,loeo,none,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,LOEO (honest),N_CT_random
90,MLP,N,none,loeo,none,167.32543296709997,360.68484654577077,-35.120143190487305,80.90940347924183,LOEO (honest),N_CT_grid
91,MLP,A,none,loeo,grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,LOEO (honest); aug:grouped_scaling,A_ST_grouped_scaling
92,MLP,A,none,loeo,grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,LOEO (honest); aug:grouped_scaling,A_CT_random_grouped_scaling
93,MLP,A,none,loeo,grouped_scaling,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289,LOEO (honest); aug:grouped_scaling,A_CT_grid_grouped_scaling
94,MLP,A,none,loeo,feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,LOEO (honest); aug:feature_scaling,A_ST_feature_scaling
95,MLP,A,none,loeo,feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,LOEO (honest); aug:feature_scaling,A_CT_random_feature_scaling
96,MLP,A,none,loeo,feature_scaling,181.91200927884802,413.70092144666427,-46.51892928203679,84.43604686048722,LOEO (honest); aug:feature_scaling,A_CT_grid_feature_scaling
97,Lasso,A,none,holdout,feature_noise,8.497739563886569,9.113894168572946,0.9835225020995937,4.932519649917879,"HO (n_test=2, optimistic); aug:feature_noise",A_ST_feature_noise
98,Lasso,N,none,holdout,none,8.940861607814561,9.573627252270782,0.9818182228197934,5.201876274667747,"HO (n_test=2, optimistic)",N_ST
99,Lasso,N,random,holdout,none,14.254709842088275,16.298260902368334,0.9473054337548763,12.052065911136856,"HO (n_test=2, optimistic); tuning:random",N_CT_random
100,Lasso,N,grid,holdout,none,14.254709842088275,16.298260902368334,0.9473054337548763,12.052065911136856,"HO (n_test=2, optimistic); tuning:grid",N_CT_grid
101,Ridge,A,random,holdout,feature_noise,16.091596149837905,22.396009377143532,0.9004996556196982,6.712793235067525,"HO (n_test=2, optimistic); aug:feature_noise; tuning:random",A_CT_random_feature_noise
102,Ridge,A,grid,holdout,feature_noise,16.091596149837905,22.396009377143532,0.9004996556196982,6.712793235067525,"HO (n_test=2, optimistic); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
103,Lasso,A,random,holdout,feature_noise,16.3296082242504,17.285505930408647,0.9407282850088886,12.854447510376824,"HO (n_test=2, optimistic); aug:feature_noise; tuning:random",A_CT_random_feature_noise
104,Lasso,A,grid,holdout,feature_noise,16.3296082242504,17.285505930408647,0.9407282850088886,12.854447510376824,"HO (n_test=2, optimistic); aug:feature_noise; tuning:grid",A_CT_grid_feature_noise
105,Ridge,A,none,holdout,feature_noise,16.901331140567592,22.961992390225642,0.8954070433388652,7.280556185063551,"HO (n_test=2, optimistic); aug:feature_noise",A_ST_feature_noise
