model,data_branch,tuning_method,validation_type,augmentation_strategy,n_train_original,n_train_augmented,MAE,RMSE,R2,MAPE_%
RandomForest,A,random,holdout,grouped_scaling,8,24,61.66535714285713,62.01326620949252,0.2371265252986735,44.364996178776636
XGBoost,A,random,holdout,grouped_scaling,8,24,64.64462280273438,64.75588406022432,0.16815621495314137,43.506098339669606
MLP,A,none,holdout,grouped_scaling,8,24,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164
DummyRegressor,A,none,loeo,grouped_scaling,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,random,loeo,grouped_scaling,9,27,42.38062829584133,65.86682592159036,-0.20455640462812963,25.721086461125115
Lasso,A,random,loeo,grouped_scaling,9,27,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178
ElasticNet,A,random,loeo,grouped_scaling,9,27,33.96062247609629,45.37066609561393,0.42846348742959806,22.175461399031978
SVR,A,random,loeo,grouped_scaling,9,27,53.07689492831132,65.24318234551029,-0.1818543079969419,34.77950269745597
RandomForest,A,random,loeo,grouped_scaling,9,27,59.33841666666666,71.11476303165597,-0.40414903032981253,39.92060113974903
XGBoost,A,random,loeo,grouped_scaling,9,27,51.877462768554686,64.16572342427469,-0.14314115389178794,34.955221204013796
MLP,A,none,loeo,grouped_scaling,9,27,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289
DummyRegressor,A,none,holdout,grouped_scaling,8,24,71.0,71.26370482230067,-0.007442099781789224,47.23251436496929
Ridge,A,grid,holdout,grouped_scaling,8,24,26.55893073661167,27.638079032775774,0.8484698645860028,16.16116710361937
Lasso,A,grid,holdout,grouped_scaling,8,24,42.60128532532654,44.08313570825624,0.6144965574543668,32.563178857339395
ElasticNet,A,grid,holdout,grouped_scaling,8,24,41.58505981488514,41.59332994811307,0.6568131132369371,28.90702383827182
SVR,A,grid,holdout,grouped_scaling,8,24,70.70728196447008,71.74086998828598,-0.020978461947262828,45.34003061275026
RandomForest,A,grid,holdout,grouped_scaling,8,24,61.66535714285712,62.01326620949251,0.23712652529867395,44.36499617877662
XGBoost,A,grid,holdout,grouped_scaling,8,24,65.77024841308594,65.99154262242384,0.13610718157365953,43.83053526586416
MLP,A,none,holdout,grouped_scaling,8,24,56.87442770559133,72.18591348102959,-0.03368500398545726,51.72317204275164
DummyRegressor,A,none,loeo,grouped_scaling,9,27,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544
Ridge,A,grid,loeo,grouped_scaling,9,27,42.38062829584133,65.86682592159036,-0.20455640462812963,25.721086461125115
Lasso,A,grid,loeo,grouped_scaling,9,27,34.239888974183074,44.310608998353324,0.4548586719554014,19.782111653013178
ElasticNet,A,grid,loeo,grouped_scaling,9,27,33.96062247609629,45.37066609561393,0.42846348742959806,22.175461399031978
SVR,A,grid,loeo,grouped_scaling,9,27,53.07689492831132,65.24318234551029,-0.1818543079969419,34.77950269745597
RandomForest,A,grid,loeo,grouped_scaling,9,27,59.33841666666666,71.11476303165597,-0.40414903032981253,39.92060113974903
XGBoost,A,grid,loeo,grouped_scaling,9,27,51.972599792480466,64.13317477265558,-0.14198171036929463,34.718379407247255
MLP,A,none,loeo,grouped_scaling,9,27,173.353264724505,400.8193463984215,-43.605767972051396,79.33857555106289
