model,feature_subset,data_branch,tuning_branch,tuning_method,validation_type,augmentation_strategy,branch_id,n_features,MAE,RMSE,R2,MAPE_%,n_train,n_train_original,n_train_augmented,n_test,n_folds,notes
RandomForest,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,51.67747142857142,61.54837713697075,-0.051784781087429455,33.9304742463885,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,random,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,46.379144287109376,57.17875660049833,0.09225663330852152,27.780211621236973,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,feature_scaling,SOLO_A_A_CT_random_feature_scaling,101,193.61989992944444,325.16445879258293,-28.35619813528465,112.53984252492579,36,9,27,10,10,
DummyRegressor,SOLO_A,A,CT,none,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,grid,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,24.631548165110743,31.233786785640778,0.7291411984454885,18.893798494980516,36,9,27,10,10,
Lasso,SOLO_A,A,CT,grid,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,33.69799136855769,42.600283447650455,0.4961298307682891,22.609999436225827,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,grid,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,22.220470106637343,28.686936786670582,0.7715127225823339,17.117982767073162,36,9,27,10,10,
SVR,SOLO_A,A,CT,grid,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,53.0014367125646,64.7106845241934,-0.16264106338682205,36.103154309103594,36,9,27,10,10,
RandomForest,SOLO_A,A,CT,grid,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,51.446000000000005,61.59419615515735,-0.05335134339712755,33.94157728316458,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,grid,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,46.92334747314453,59.21318513297832,0.02651219466629151,28.363421420253843,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,feature_scaling,SOLO_A_A_CT_grid_feature_scaling,101,193.61989992944444,325.16445879258293,-28.35619813528465,112.53984252492579,36,9,27,10,10,
DummyRegressor,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,24.811604762018018,32.64886621390873,0.7040421399249488,16.52914304723631,36,9,27,10,10,
Lasso,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,30.967162308561182,44.821454343182246,0.44221663456933535,19.291912954847064,36,9,27,10,10,
ElasticNet,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,23.90532808286401,30.554995793407375,0.7407861953874035,16.650082146980242,36,9,27,10,10,
SVR,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,57.46315159803612,68.05924029037416,-0.2860796428629029,37.29634181822653,36,9,27,10,10,
RandomForest,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,52.78024107142859,63.61472774317785,-0.1235929760303196,34.33094883026866,36,9,27,10,10,
XGBoost,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,59.82935638427735,67.3483990200986,-0.2593551501018736,37.20775316893693,36,9,27,10,10,
MLP,SOLO_A,A,ST,none,loeo,grouped_scaling,SOLO_A_A_ST_grouped_scaling,101,180.55934184971215,292.4107172145575,-22.73997416266583,108.0077912918165,36,9,27,10,10,
DummyRegressor,SOLO_A,A,CT,none,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,random,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,36,9,27,10,10,
Lasso,SOLO_A,A,CT,random,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,29.465169367714743,47.0245903434833,0.38603486225288053,15.722409732062134,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,random,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,23.527293275767406,29.285454022415074,0.7618790575260538,16.75249732401313,36,9,27,10,10,
SVR,SOLO_A,A,CT,random,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,53.00590774720274,64.62658132946908,-0.15962090416845442,36.09410740319056,36,9,27,10,10,
RandomForest,SOLO_A,A,CT,random,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,54.190520557220545,64.8450565491446,-0.1674745352492193,36.095492382167436,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,random,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,53.93717727661133,63.50777286014634,-0.11981797813136041,33.54686729871644,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,grouped_scaling,SOLO_A_A_CT_random_grouped_scaling,101,180.55934184971215,292.4107172145575,-22.73997416266583,108.0077912918165,36,9,27,10,10,
DummyRegressor,SOLO_A,A,CT,none,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,36,9,27,10,10,
Ridge,SOLO_A,A,CT,grid,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,22.739947537205484,30.93283900078574,0.7343356789039226,17.286024447238688,36,9,27,10,10,
Lasso,SOLO_A,A,CT,grid,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,29.465169367714743,47.0245903434833,0.38603486225288053,15.722409732062134,36,9,27,10,10,
ElasticNet,SOLO_A,A,CT,grid,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,23.527293275767406,29.285454022415074,0.7618790575260538,16.75249732401313,36,9,27,10,10,
SVR,SOLO_A,A,CT,grid,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,53.00590774720274,64.62658132946908,-0.15962090416845442,36.09410740319056,36,9,27,10,10,
RandomForest,SOLO_A,A,CT,grid,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,53.37199999999999,63.26048245152735,-0.11111412697927903,35.386541040663154,36,9,27,10,10,
XGBoost,SOLO_A,A,CT,grid,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,50.27948226928711,60.50278649664141,-0.016352649411296882,30.717655657435966,36,9,27,10,10,
MLP,SOLO_A,A,CT,none,loeo,grouped_scaling,SOLO_A_A_CT_grid_grouped_scaling,101,180.55934184971215,292.4107172145575,-22.73997416266583,108.0077912918165,36,9,27,10,10,
DummyRegressor,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,48.68942467274201,84.29088249161344,-0.9726719598896592,28.051581296177307,9,9,0,10,10,
Lasso,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,37.53026424159558,43.80970041639095,0.46711409072576326,23.458665886124805,9,9,0,10,10,
ElasticNet,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,30.947568337376413,40.38287131045267,0.5472191401046227,20.522088167744666,9,9,0,10,10,
SVR,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,56.57074862033271,66.06663648859205,-0.21187566306810468,37.2277903748075,9,9,0,10,10,
RandomForest,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,47.380425000000024,59.09598494562968,0.0303620143060368,31.743312908188305,9,9,0,10,10,
XGBoost,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,44.03835525512695,58.50942457270663,0.04951487667477039,27.828235621720072,9,9,0,10,10,
MLP,SOLO_R,N,ST,none,loeo,none,SOLO_R_N_ST,99,273.5412853046249,682.3303351009896,-128.26561869539822,119.5560800341958,9,9,0,10,10,
DummyRegressor,SOLO_R,N,CT,none,loeo,none,SOLO_R_N_CT_random,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,53.96599498257531,93.68938265805167,-1.4371060315704103,31.592724335296484,9,9,0,10,10,
Lasso,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,37.53026424159558,43.80970041639095,0.46711409072576326,23.458665886124805,9,9,0,10,10,
ElasticNet,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272,9,9,0,10,10,
SVR,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,49.79410008462102,63.976650429771055,-0.13641423893036997,35.01930058931643,9,9,0,10,10,
RandomForest,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,47.1365,59.06075865157845,0.031517645188786525,30.72500163443353,9,9,0,10,10,
XGBoost,SOLO_R,N,CT,random,loeo,none,SOLO_R_N_CT_random,99,43.34657669067383,57.06189238316583,0.09596340541579151,27.135733546738134,9,9,0,10,10,
MLP,SOLO_R,N,CT,none,loeo,none,SOLO_R_N_CT_random,99,273.5412853046249,682.3303351009896,-128.26561869539822,119.5560800341958,9,9,0,10,10,
DummyRegressor,SOLO_R,N,CT,none,loeo,none,SOLO_R_N_CT_grid,99,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,9,9,0,10,10,
Ridge,SOLO_R,N,CT,grid,loeo,none,SOLO_R_N_CT_grid,99,53.96599498257531,93.68938265805167,-1.4371060315704103,31.592724335296484,9,9,0,10,10,
Lasso,SOLO_R,N,CT,grid,loeo,none,SOLO_R_N_CT_grid,99,37.53026424159558,43.80970041639095,0.46711409072576326,23.458665886124805,9,9,0,10,10,
ElasticNet,SOLO_R,N,CT,grid,loeo,none,SOLO_R_N_CT_grid,99,33.261153534108395,37.38160503591478,0.6120198031865237,21.784892753433272,9,9,0,10,10,
SVR,SOLO_R,N,CT,grid,loeo,none,SOLO_R_N_CT_grid,99,49.81505631047086,63.98633658618968,-0.13675837446341998,35.02285695375068,9,9,0,10,10,
