model,data_branch,tuning_method,validation_type,augmentation_strategy,branch_id,best_params,best_cv_score,scoring,notes
SVR,A,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,"{""model__gamma"": ""scale"", ""model__epsilon"": 10, ""model__C"": 10}",37.3082815856946,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
RandomForest,A,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,"{""model__n_estimators"": 50, ""model__min_samples_leaf"": 2, ""model__max_depth"": null}",34.09078888888887,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
XGBoost,A,random,holdout,grouped_scaling,A_CT_random_grouped_scaling,"{""model__subsample"": 0.6, ""model__reg_lambda"": 10, ""model__n_estimators"": 100, ""model__max_depth"": 1, ""model__learning_rate"": 0.01, ""model__colsample_bytree"": 0.8}",32.21073265075684,neg_mean_absolute_error,"{""method"": ""random"", ""n_candidates"": 20}"
MLP,A,none,holdout,grouped_scaling,A_CT_random_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
DummyRegressor,A,none,holdout,grouped_scaling,A_CT_grid_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
Ridge,A,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 100}",47.77757170651555,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
Lasso,A,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 0.01}",33.99959334052967,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 5}"
ElasticNet,A,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__alpha"": 10, ""model__l1_ratio"": 0.3}",32.88699071978328,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 20}"
SVR,A,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__C"": 10, ""model__epsilon"": 10, ""model__gamma"": ""scale""}",37.3082815856946,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 32}"
RandomForest,A,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__max_depth"": 5, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 50}",34.09078888888887,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 36}"
XGBoost,A,grid,holdout,grouped_scaling,A_CT_grid_grouped_scaling,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.01, ""model__max_depth"": 1, ""model__n_estimators"": 100, ""model__reg_lambda"": 10, ""model__subsample"": 0.8}",32.421437454223636,neg_mean_absolute_error,"{""method"": ""grid"", ""n_candidates"": 54}"
MLP,A,none,holdout,grouped_scaling,A_CT_grid_grouped_scaling,{},,neg_mean_absolute_error,"{""method"": ""none""}"
